-63,,-92,-0.88,,,
-61,,-91,1.01,,,
-57,,-90,2.9,,,
-55,,-90,2.9,,,
-57,,-90,2.9,,,
-67,,-88,6.68,,,
-64,,-87,8.57,,,
-63,,-86,10.46,,,
-59,,-85,12.35,,,
-55,,-84,14.24,,,
-67,,-84,14.24,,,
-55,,-84,14.24,,,
-54,,-83,16.13,,,
-47,,-81,19.91,,,
-67,,-80,21.8,,,
-39,,-80,21.8,,,
-39,,-77,27.47,,,
-40,,-74,33.14,,,
-45,,-74,33.14,,,
-44,,-73,35.03,,,
-39,,-73,35.03,,,
-40,,-72,36.92,,,
-55,,-72,36.92,,,
-69,,-70,40.7,,,
-77,,-69,42.59,,,
-65,,-69,42.59,,,
-67,,-67,46.37,,,
-83,,-67,46.37,,,
-67,,-67,46.37,,,
-72,,-67,46.37,,,
-70,,-67,46.37,,,
-74,,-67,46.37,,-39,-92
-74,,-67,46.37,,100,0
-73,,-67,46.37,,,
-65,,-65,50.15,,1.89x+173,
-80,,-65,50.15,,,
-65,,-65,50.15,,,
-60,,-64,52.04,,,
-67,,-64,52.04,,,
-67,,-63,53.93,,,
-63,,-63,53.93,,,
-69,,-63,53.93,,,
-72,,-61,57.71,,,
-84,,-60,59.6,,,
-80,,-59,61.49,,,
-90,,-57,65.27,,,
-84,,-57,65.27,,,
-85,,-55,69.05,,,
-87,,-55,69.05,,,
-88,,-55,69.05,,,
-92,,-55,69.05,,,
-91,,-54,70.94,,,
-86,,-52,74.72,,,
-90,,-47,84.17,,,
-84,,-45,87.95,,,
-81,,-44,89.84,,,
-64,,-40,97.4,,,
-90,,-40,97.4,,,
-67,,-39,99.29,,,
-73,,-39,99.29,,,
-52,,-39,99.29,,,
-39,,-39,99.29,,,
-39,,-39,99.29,,,
